status_group,amount_tsh,gps_height,basin,region,region_code,lga,public_meeting,scheme_management,permit,extraction_type_group,extraction_type_class,management,management_group,payment,quality_group,quantity,source,source_class,waterpoint_type,water_per_person,age_at_inspection,unknown_construction_year
functional needs repair,0.0,1162,Lake Victoria,Mwanza,19,Ukerewe,,,True,other,other,vwc,user-group,never pay,milky,insufficient,spring,groundwater,other,0.0,12.0,False
functional needs repair,0.0,1510,Rufiji,Iringa,11,Njombe,True,WUA,True,gravity,gravity,wua,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,33.0,False
functional needs repair,0.0,1273,Pangani,Kilimanjaro,3,Moshi Rural,True,VWC,True,gravity,gravity,vwc,user-group,unknown,good,enough,spring,groundwater,communal standpipe,0.0,39.0,False
functional needs repair,0.0,1481,Pangani,Kilimanjaro,3,Moshi Rural,False,Other,True,gravity,gravity,other,other,never pay,good,insufficient,river,surface,other,0.0,41.0,False
functional needs repair,20.0,1007,Pangani,Arusha,2,Arusha Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay per bucket,good,insufficient,spring,groundwater,communal standpipe,0.2,13.0,False
functional needs repair,20.0,240,Ruvuma / Southern Coast,Mtwara,90,Masasi,True,VWC,True,gravity,gravity,vwc,user-group,pay per bucket,good,enough,spring,groundwater,communal standpipe,0.6666666666666666,9.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,swn 80,handpump,vwc,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,500.0,954,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,0.8818342151675485,28.0,False
functional needs repair,0.0,427,Wami / Ruvu,Morogoro,5,Morogoro Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,7.0,False
functional needs repair,0.0,0,Wami / Ruvu,Dodoma,1,Dodoma Urban,True,VWC,False,mono,motorpump,vwc,user-group,pay per bucket,good,insufficient,machine dbh,groundwater,communal standpipe multiple,0.0,,False
functional needs repair,200.0,1002,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,WUG,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe,1.6666666666666667,7.0,False
functional needs repair,0.0,1000,Ruvuma / Southern Coast,Ruvuma,10,Songea Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay when scheme fails,good,enough,river,surface,communal standpipe,0.0,35.0,False
functional needs repair,50.0,701,Ruvuma / Southern Coast,Ruvuma,10,Tunduru,True,VWC,False,submersible,submersible,vwc,user-group,pay per bucket,good,enough,machine dbh,groundwater,communal standpipe multiple,50.0,2.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Muleba,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,improved spring,0.0,,False
functional needs repair,0.0,0,Lake Tanganyika,Shinyanga,17,Bukombe,,WUG,True,other,other,wug,user-group,unknown,good,enough,shallow well,groundwater,other,0.0,,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbeya Rural,False,VWC,False,gravity,gravity,wug,user-group,pay when scheme fails,good,enough,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Internal,Shinyanga,17,Kishapu,False,Parastatal,False,gravity,gravity,parastatal,parastatal,unknown,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
